"quanti.correlation" "quanti.p.value"
"H6506.04.RCC" 0.859443237194742 1.20717296869799e-06
"H4444.05.RCC" 0.802707269956172 2.04985771250499e-05
"H935.05.RCC" 0.792877295043162 3.05494643400017e-05
"H1839.04.RCC" 0.783035273981795 4.46264588054301e-05
"H6209.05.RCC" 0.773047570643262 6.43152925361434e-05
"H6601.04.RCC" 0.73536854266243 0.000220357482560551
"H2936.05.RCC" 0.731125559274007 0.000249947737006595
"H3700.06.RCC" 0.728583051607937 0.000269255427698845
"H4528.04.RCC" 0.721444094308109 0.000330414910832744
"H10144.06.RCC" 0.708696769738272 0.00046922940275218
"H8739.04.RCC" 0.706556867124777 0.000496811048821932
"H4638.04.RCC" 0.703563041910311 0.000537702018348574
"H1264.06.RCC" 0.701641227197508 0.000565428446690053
"H4412.05.RCC" 0.68302714590517 0.000902869122688887
"H2187.05.RCC" 0.647385182223735 0.00203032357268129
"H1840.06.RCC" 0.609384479103096 0.00434095079770924
"H1546.04.RCC" 0.606948452663029 0.00454311769177274
"H11681.04.RCC" 0.601548462962451 0.00501909713630555
"H2117.06.RCC" 0.581422451538859 0.0071697175993406
"H4972.04.RCC" 0.495583093091198 0.0262809471064531
"H8925.05.RCC" 0.45784910585621 0.042358273637491
